ID_point,Point_name,Date ,Decimale_date,Collecting_campaign,Year,Coordinates_X,Coordinates_X_UTM_31,Coordinates_Y,Coordinates_Y_UTM_31,Altitude_asl,Profondeur_cm,Profondeur_approximative,Color,Hcl,Hcl_rough,Humidity,Hydromorphy,Hydromorphy_intensity,Texture,Surface_structure,Average_surface_stability_6,Flapping_crust,Compactness,Rough_approximate_elements_%,Comments,Parcel_code,zone,EC_1_5_mS_cm,EC_mS_cm,pH,Ca_ppm,Na_ppm,NO3_ppm,K_ppm
JP19B23,B23,20/05/2019,43605,JP19,2019,"3,101384","508230,99","43,243076","4787813,54","4,895",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,,1,B,"0,358","2,41292","8,11",110,,,
JP19B23,B23,20/05/2019,43605,JP19,2019,"3,101384","508230,99","43,243076","4787813,54","4,645",30-40,35,10YR4/3,3,,1,0,,silty clay,,,,,,,1,B,"0,368","2,48032","8,17",110,,,
JP19B23,B23,20/05/2019,43605,JP19,2019,"3,101384","508230,99","43,243076","4787813,54","4,245",70-80,75,10YR4/3,3,,1,0,,silty clay,,,,,,,1,B,"0,632","4,25968","7,96",290,,,
JP19B23,B23,20/05/2019,43605,JP19,2019,"3,101384","508230,99","43,243076","4787813,54","3,945",90-120,105,10YR4/3,3,,1,0,,silty clay,,,,,,,1,B,"0,569","3,83506","8,15",130,,,
JP19B24,B24,20/05/2019,43605,JP19,2019,"3,095025","507714,63","43,243891","4787903,44","5,825",0-20,10,10YR4/3,3,,1,0,,silty clay,,"2,33333333333333",,,,,1,B,"0,374","2,52076","8,02",120,,,
JP19B24,B24,20/05/2019,43605,JP19,2019,"3,095025","507714,63","43,243891","4787903,44","5,575",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,256","1,72544","8,18",86,,,
JP19B24,B24,20/05/2019,43605,JP19,2019,"3,095025","507714,63","43,243891","4787903,44","5,175",70-80,75,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,264","1,77936","8,35",80,,,
JP19B24,B24,20/05/2019,43605,JP19,2019,"3,095025","507714,63","43,243891","4787903,44","4,875",90-120,105,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,234","1,57716","8,26",77,,,
JP19B25,B25,20/05/2019,43605,JP19,2019,"3,094985","507711,49","43,242998","4787804,26","5,627",0-20,10,10YR4/3,3,,1,0,,silty clay,,,,,,,1,B,"0,221","1,48954","8,21",100,,,
JP19B25,B25,20/05/2019,43605,JP19,2019,"3,094985","507711,49","43,242998","4787804,26","5,377",30-40,35,10YR5/4,3,,1,0,,silty clay,,,,,,,1,B,"0,254","1,71196","8,42",88,,,
